headline,url,publisher,date,stock
Volatile session: traders react to CPI print — focus on AAPL,https://example-news.test/event/22,Bloomberg,2024-08-05 11:06:00-04:00,AAPL
Macro jitters weigh on mega-cap peers including XOM,https://example-news.test/a/202615,Bloomberg,2024-08-05 11:08:00-04:00,XOM
Volatile session: traders react to CPI print — focus on AMZN,https://example-news.test/event/23,CNBC,2024-08-05 11:09:00-04:00,AMZN
Volatile session: traders react to CPI print — focus on NVDA,https://example-news.test/event/24,Reuters,2024-08-05 11:12:00-04:00,NVDA
Volatile session: traders react to CPI print — focus on GOOGL,https://example-news.test/event/25,Bloomberg,2024-08-05 11:15:00-04:00,GOOGL
FDA approval speculation lifts sentiment around AAPL suppliers,https://example-news.test/a/202619,CNBC,2024-08-05 11:17:00-04:00,AAPL
Volatile session: traders react to CPI print — focus on AAPL,https://example-news.test/event/26,Reuters,2024-08-05 11:18:00-04:00,AAPL
Volatile session: traders react to CPI print — focus on JPM,https://example-news.test/event/27,CNBC,2024-08-05 11:21:00-04:00,JPM
Volatile session: traders react to CPI print — focus on MSFT,https://example-news.test/event/28,CNBC,2024-08-05 11:24:00-04:00,MSFT
Volatile session: traders react to CPI print — focus on MSFT,https://example-news.test/event/29,Bloomberg,2024-08-05 11:27:00-04:00,MSFT
Volatile session: traders react to CPI print — focus on XOM,https://example-news.test/event/30,Bloomberg,2024-08-05 11:30:00-04:00,XOM
Volatile session: traders react to CPI print — focus on MSFT,https://example-news.test/event/31,Bloomberg,2024-08-05 11:33:00-04:00,MSFT
Volatile session: traders react to CPI print — focus on AMZN,https://example-news.test/event/32,CNBC,2024-08-05 11:36:00-04:00,AMZN
Volatile session: traders react to CPI print — focus on AAPL,https://example-news.test/event/33,CNBC,2024-08-05 11:39:00-04:00,AAPL
Volatile session: traders react to CPI print — focus on META,https://example-news.test/event/34,Bloomberg,2024-08-05 11:42:00-04:00,META
Volatile session: traders react to CPI print — focus on AAPL,https://example-news.test/event/35,Reuters,2024-08-05 11:45:00-04:00,AAPL
Volatile session: traders react to CPI print — focus on XOM,https://example-news.test/event/36,Bloomberg,2024-08-05 11:48:00-04:00,XOM
Volatile session: traders react to CPI print — focus on JPM,https://example-news.test/event/37,CNBC,2024-08-05 11:51:00-04:00,JPM
Volatile session: traders react to CPI print — focus on MSFT,https://example-news.test/event/38,Bloomberg,2024-08-05 11:54:00-04:00,MSFT
Volatile session: traders react to CPI print — focus on XOM,https://example-news.test/event/39,Reuters,2024-08-05 11:57:00-04:00,XOM
Volatile session: traders react to CPI print — focus on MSFT,https://example-news.test/event/40,Bloomberg,2024-08-05 12:00:00-04:00,MSFT
Volatile session: traders react to CPI print — focus on GOOGL,https://example-news.test/event/41,Reuters,2024-08-05 12:03:00-04:00,GOOGL
Volatile session: traders react to CPI print — focus on GOOGL,https://example-news.test/event/42,Bloomberg,2024-08-05 12:06:00-04:00,GOOGL
Volatile session: traders react to CPI print — focus on NVDA,https://example-news.test/event/43,Bloomberg,2024-08-05 12:09:00-04:00,NVDA
Volatile session: traders react to CPI print — focus on META,https://example-news.test/event/44,Bloomberg,2024-08-05 12:12:00-04:00,META
GOOGL slides as revenue misses Wall Street consensus,https://example-news.test/a/202465,FT,2024-08-05 14:07:00-04:00,GOOGL
AMZN rises after earnings beat; analysts raise outlook,https://example-news.test/a/202480,WSJ,2024-08-05 14:16:00-04:00,AMZN
Macro jitters weigh on mega-cap peers including AAPL,https://example-news.test/a/202551,WSJ,2024-08-05 14:18:00-04:00,AAPL
FDA approval speculation lifts sentiment around XOM suppliers,https://example-news.test/a/202427,investor_research@goldman.example,2024-08-05 15:31:00-04:00,XOM
Insider filings show sizable sale at AAPL,https://example-news.test/a/202406,MarketWatch,2024-08-05 15:51:00-04:00,AAPL
Macro jitters weigh on mega-cap peers including MSFT,https://example-news.test/a/202599,tips@anonymous.example,2024-08-05 16:17:00-04:00,MSFT
Insider filings show sizable sale at JPM,https://example-news.test/a/202590,WSJ,2024-08-05 16:57:00-04:00,JPM
Macro jitters weigh on mega-cap peers including MSFT,https://example-news.test/a/202455,Bloomberg,2024-08-05 17:04:00-04:00,MSFT
AAPL rises after earnings beat; analysts raise outlook,https://example-news.test/a/202560,FT,2024-08-05 18:36:00-04:00,AAPL
FDA approval speculation lifts sentiment around MSFT suppliers,https://example-news.test/a/202515,Barrons,2024-08-05 18:41:00-04:00,MSFT
Sector rotation favors GOOGL as yields retreat,https://example-news.test/a/202445,CNBC,2024-08-05 19:57:00-04:00,GOOGL
